title,unit,institution,start_date,end_date
Director,Data Science Program,Iowa State University,2024-08-15,
Professor,Statistics,Iowa State University,2023-07-01,
Associate Professor,Statistics,Iowa State University,2017,2023
Assistant Professor,Statistics,Iowa State University,2011,2017
Visiting Scholar,Statistics and Actuarial Sciences,Simon Fraser University,2019,2020
Assistant Professor,Statistics & Applied Probability,"University of California, Santa Barbara",2009,2011
