date,title,presenting_author,work_authors,venue,kind,solicitation,venue_type,notes,internal_notes
2012-10-20,A computational approach to the sequential control problem,Jarad Niemi,,Duke Department of Statistical Science 25th Anniversary Celebration,talk,invited,university,,
2012-08-29,Bird response to native habitat strips integrated into agricultural fields,A.L. MacDonald,"L.A. Schulte Moore, M.J. Helmers, J.B. Niemi","International Conference on Agricultural Biodiversity and Sustainability, Hokkaido",poster,contributed,,,
2012-08-07,Testing a new conservation practice for agricultural landscapes: Bird response to prairie strips in row-cropped landscapes,A.L. MacDonald,"L.A. Schulte, M.J. Helmers, J.B. Niemi",97th Annual Meeting of the Ecological Society of America,poster,contributed,,,
2012-06-28,Rejection sampling on a graphical processing unit,Jarad Niemi,,11th World Meeting of the International Society for Bayesian Analysis,talk,invited,conference,,
2012-01-20,Determining optimal sequential disease outbreak interventions,Jarad Niemi,,"University of Iowa, Computational Epidemiology Seminar",talk,invited,university,,
2011-12-07,Optimal sequential management decisions for measles outbreaks,Jarad Niemi,,10th International Society for Disease Surveillance 10th Annual Conference,talk,contributed,major conference,,
2011-12-07,An exploratory analysis of the 2010 measles outbreak in Zimbabwe,Jarad Niemi,,2011 International Society for Disease Surveillance Conference,poster,contributed,,,
2011-10-12,A sequential Monte Carlo primer,Jarad Niemi,,"Iowa State University, Department of Statistics, Computational Statistics working group",talk,invited,,,
2011-09-28,Statistical computing on graphical processing units,Jarad Niemi,,"Iowa State University, Department of Statistics, Computational Statistics working group",talk,invited,,,
2011-04-12,Time management,Jarad Niemi,,"University of California, Santa Barbara IGERT Career Development Seminar Series",talk,contributed,,,
2011-02-24,Optimal dynamic policies for influenza management,Jarad Niemi,,"Department of Statistics, Iowa State University",talk,invited,,,
2011-01-12,Optimal sequential management decisions for influenza outbreaks,Jarad Niemi,Mike Ludkovski,"Department of Statistics and Applied Probability, University of California, Santa Barbara",talk,invited,,,
2011-01-06,Parameter inference in stochastic chemical kinetic models on GPUs,Jarad Niemi,Matthew Wheeler,MCMSki3: 4th International IMS/ISBA Joint Meeting,poster,contributed,,,
2010-12-02,Optimal sequential management decisions for influenza outbreaks,Jarad Niemi,,9th International Society for Disease Surveillance 9th Annual Conference,talk,contributed,major conference,,
2010-08-04,Evaluating individual player contributions in basketball,Jarad Niemi,,Joint Statistical Meetings,talk,contributed,major conference,,
